Country,Region Name,admin_level,Est. Population,Total (t CO2),CO2 per capita,airports,buildings,ets,farms,fuelstations,harbours,refineries,tiox,trains
italy,Agrate Conturbia,8,1677.96599208633,13769,8.20576821278721,0,11063,0,2706,0,0,0,0,0
italy,Agrigento,8,61495.7634857668,144232,2.34539733836108,0,49395,0,429,94302,0,0,0,106
italy,Agropoli,8,18998.7143860429,26992,1.42072771091444,0,1517,0,33,25389,0,0,0,53
italy,Agugliano,8,5052.3855891308,4228,0.836832408257932,0,370,0,231,3627,0,0,0,0
italy,Agugliaro,8,1568.99680135047,10640,6.78140324495367,0,10508,0,132,0,0,0,0,0
italy,Ahrntal - Valle Aurina,8,5998.1492253345,35238,5.87481215891805,0,31413,0,198,3627,0,0,0,0
italy,Aicurzio,8,3202.31467551726,3815,1.19132577106395,0,2627,0,1188,0,0,0,0,0
italy,Aidone,8,4486.73436569399,4917,1.0958972827979,0,4884,0,33,0,0,0,0,0
italy,AidumajoreAidomaggiore,8,441.414120620175,8297,18.7964082081084,0,8066,0,231,0,0,0,0,0
italy,Aielli,8,1368.57581551705,4182,3.0557313322244,0,555,0,0,3627,0,0,0,0
italy,Aiello Calabro,8,1682.9404359213,3923,2.33103912430057,0,296,0,0,3627,0,0,0,0
italy,Aiello del Friuli,8,2264.92570603332,38110,16.8261589766421,0,11137,0,1584,25389,0,0,0,0
italy,Aiello del Sabato,8,4100.07591390825,3627,0.8846177671239,0,0,0,0,3627,0,0,0,0
italy,Aieta,8,808.208942268713,3363,4.16105269827845,0,3330,0,33,0,0,0,0,0
italy,Ailano,8,1334.4625218552,7291,5.46362290479609,0,37,0,0,7254,0,0,0,0
italy,Ailoche,8,269.718559047207,5920,21.9488047871554,0,5920,0,0,0,0,0,0,0
italy,Airasca,8,3877.87308859077,25595,6.60026757330042,0,6253,4418,363,14508,0,0,0,53
italy,Airola,8,8529.83390091447,28930,3.39162524570361,0,6475,0,693,21762,0,0,0,0
italy,Airole,8,454.312902598103,6730,14.8135788385335,0,6697,0,33,0,0,0,0,0
italy,Airuno,8,3144.19101259671,3622,1.15196563614902,0,3404,0,165,0,0,0,0,53
italy,Aisone,8,251.523302689318,4063,16.1535728759837,0,3700,0,363,0,0,0,0,0
italy,Ala di Stura,8,451.157494788918,7993,17.7166512633014,0,6475,0,1518,0,0,0,0,0
italy,Ala,8,9424.29601108823,36865,3.91169801506937,0,25086,0,792,10881,0,0,0,106
italy,Alagna Valsesia,8,657.555336797668,26580,40.4224534614016,0,22755,0,198,3627,0,0,0,0
italy,Alagna,8,906.303933460702,3774,4.16416597199249,0,3774,0,0,0,0,0,0,0
italy,Alanno,8,3561.04654117723,27028,7.58990361048888,0,962,22386,0,3627,0,0,0,53
