id,Country,Place Name,region,lon,lat,coordinates,bounding_box,admin_level,Est. Population,Total (t CO2),CO2 per capita,airports,buildings,ets,farms,fuelstations,harbours,refineries,tiox,trains,restaurants,pubs,bars_cafes,biergarten,fast_foods,food_courts,ice_cream,churches,museums,castles,artworks,theatres,monuments,amphitheatres,gyms,swimming_pools,sports_halls,tennis_fields,padel_fields,soccer_fields,sport_shops,stadiums,spa,markets,supermarkets,clothes_shops,electronics_shops,jewelry_shops,parks,picnic_areas,rivers,lakes,trails,Tags
0,'italy','Acceglio',' Piemonte',44.474627,6.990918,ST_GeogFromText('POINT(6.990918 44.474627)'),"'(6.980918, 44.464627, 7.0009179999999995, 44.484626999999996)'",8,165.757078833038,7915,47.7506001898872,0,7585,0,330,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,"Cibo, Natura"
1,'italy','Acqui Terme',' Piemonte',44.675145,8.467546,ST_GeogFromText('POINT(8.467546 44.675145)'),"'(8.457546, 44.665145, 8.477546, 44.685145)'",8,20151.0795697693,86080,4.27173143264927,0,34817,0,4059,47151,0,0,0,53,12,0,21,0,4,0,2,10,1,1,5,0,0,0,0,25,0,0,0,0,0,1,1,1,4,2,0,0,7,0,3,4,0,"Arte, Cibo, Sport, Natura, Relax"
2,'italy','Agliano Terme',' Piemonte',44.7910116,8.2499878,ST_GeogFromText('POINT(8.2499878 44.7910116)'),"'(8.2399878, 44.7810116, 8.2599878, 44.801011599999995)'",8,1586.43736226048,12989,8.187527795924,0,5550,0,132,7254,0,0,0,53,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"Cibo, Sport"
3,'italy','Agliè',' Piemonte',45.367055,7.766918,ST_GeogFromText('POINT(7.766918 45.367055)'),"'(7.756918000000001, 45.357055, 7.776918, 45.377055)'",8,2569.48617005286,21528,8.37832880787879,0,6327,0,693,14508,0,0,0,0,3,0,3,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,"Arte, Cibo, Natura"
4,'italy','Agrate Conturbia',' Piemonte',45.675837,8.5598116,ST_GeogFromText('POINT(8.5598116 45.675837)'),"'(8.5498116, 45.665837, 8.5698116, 45.685837)'",8,1677.96599208633,13769,8.20576821278721,0,11063,0,2706,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"Sport, Relax"
5,'italy','Ailoche',' Piemonte',45.6982914,8.2212127,ST_GeogFromText('POINT(8.2212127 45.6982914)'),"'(8.2112127, 45.688291400000004, 8.2312127, 45.7082914)'",8,269.718559047207,5920,21.9488047871554,0,5920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arte
6,'italy','Airasca',' Piemonte',44.917042,7.484321,ST_GeogFromText('POINT(7.484321 44.917042)'),"'(7.474321, 44.907042000000004, 7.494320999999999, 44.927042)'",8,3877.87308859077,25595,6.60026757330042,0,6253,4418,363,14508,0,0,0,53,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,Natura
7,'italy','Airole',' Liguria',43.871038,7.5541812,ST_GeogFromText('POINT(7.5541812 43.871038)'),"'(7.544181200000001, 43.861038, 7.5641812, 43.881038)'",8,454.312902598103,6730,14.8135788385335,0,6697,0,33,0,0,0,0,0,4,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,"Arte, Natura"
8,'italy','Aisone',' Piemonte',44.313925,7.219626,ST_GeogFromText('POINT(7.219626 44.313925)'),"'(7.209626, 44.303925, 7.229626, 44.323924999999996)'",8,251.523302689318,4063,16.1535728759837,0,3700,0,363,0,0,0,0,0,1,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"Cibo, Sport, Natura"
9,'italy','Ala di Stura',' Piemonte',45.31515,7.305909,ST_GeogFromText('POINT(7.305909 45.31515)'),"'(7.295909, 45.305150000000005, 7.3159089999999996, 45.32515)'",8,451.157494788918,7993,17.7166512633014,0,6475,0,1518,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,"Cibo, Natura, Shopping"
10,'italy','Alagna Valsesia',' Piemonte',45.8512107,7.9371767,ST_GeogFromText('POINT(7.9371767 45.8512107)'),"'(7.9271767, 45.841210700000005, 7.9471767, 45.8612107)'",8,657.555336797668,26580,40.4224534614016,0,22755,0,198,3627,0,0,0,0,9,1,6,0,0,0,1,18,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,3,0,"Arte, Cibo, Natura, Relax"
