id,Country,Place Name,region,lon,lat,coordinates,bounding_box,admin_level,Est. Population,Total (t CO2),CO2 per capita,airports,buildings,ets,farms,fuelstations,harbours,refineries,tiox,trains,restaurants,pubs,bars_cafes,biergarten,fast_foods,food_courts,ice_cream,churches,museums,castles,artworks,theatres,monuments,amphitheatres,gyms,swimming_pools,sports_halls,tennis_fields,padel_fields,soccer_fields,sport_shops,stadiums,spa,markets,supermarkets,clothes_shops,electronics_shops,jewelry_shops,parks,picnic_areas,rivers,lakes,trails
748,'italy','Mezzana Mortigliengo',' Piemonte',45.626566,8.189522,ST_GeogFromText('POINT(8.189522 45.626566)'),"'(8.179522, 45.616566, 8.199522, 45.636565999999995)'",8,529.199219260307,5402,10.207875982037,0,5402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
749,'italy','Mezzanego',' Liguria',44.3920085,9.407722,ST_GeogFromText('POINT(9.407722 44.3920085)'),"'(9.397722, 44.382008500000005, 9.417722, 44.4020085)'",8,1768.90201272741,15085,8.52788899071969,0,14689,0,396,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,'italy','Mezzenile',' Piemonte',45.2951292,7.3944587,ST_GeogFromText('POINT(7.3944587 45.2951292)'),"'(7.384458700000001, 45.2851292, 7.4044587, 45.305129199999996)'",8,754.270942216885,7530,9.9831500572838,0,5365,0,2112,0,0,0,0,53,5,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0
751,'italy','Mezzomerico',' Piemonte',45.6186872,8.6055179,ST_GeogFromText('POINT(8.6055179 45.6186872)'),"'(8.5955179, 45.6086872, 8.6155179, 45.628687199999995)'",8,1265.38800729726,5698,4.50296665302712,0,4477,0,1221,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
752,'italy','Miagliano',' Piemonte',45.613464,8.044719,ST_GeogFromText('POINT(8.044719 45.613464)'),"'(8.034719, 45.603464, 8.054719, 45.623464)'",8,579.06022016285,1813,3.13093515470658,0,1813,0,0,0,0,0,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
753,'italy','Miasino',' Piemonte',45.801972,8.429724,ST_GeogFromText('POINT(8.429724 45.801972)'),"'(8.419724, 45.791972, 8.439724, 45.811972)'",8,904.250900890678,10703,11.8363166566466,0,6845,0,231,3627,0,0,0,0,5,0,3,1,0,0,0,8,0,0,83,0,1,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0
754,'italy','Miazzina',' Piemonte',45.976377,8.522223,ST_GeogFromText('POINT(8.522223 45.976377)'),"'(8.512223, 45.966377, 8.532223, 45.986377)'",8,428.703255535776,3404,7.94022428345177,0,3404,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,15,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,'italy','Mignanego',' Liguria',44.54833,8.9156574,ST_GeogFromText('POINT(8.9156574 44.54833)'),"'(8.9056574, 44.53833, 8.9256574, 44.55833)'",8,3959.65900678988,28152,7.10970312133595,0,23680,0,792,3627,0,0,0,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,'italy','Mileto',' Liguria',44.4996982,9.3461403,ST_GeogFromText('POINT(9.3461403 44.4996982)'),"'(9.3361403, 44.4896982, 9.3561403, 44.509698199999995)'",8,6560.35259355092,7784,1.18652159148457,0,444,0,33,7254,0,0,0,53,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
757,'italy','Millesimo',' Liguria',44.367536,8.201746,ST_GeogFromText('POINT(8.201746 44.367536)'),"'(8.191746, 44.357536, 8.211746, 44.377536)'",8,3316.76536599715,20514,6.18494157298723,0,12765,0,495,7254,0,0,0,0,4,0,2,0,0,0,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,3,2,0
758,'italy','Mioglia',' Liguria',44.4904597,8.4124727,ST_GeogFromText('POINT(8.4124727 44.4904597)'),"'(8.4024727, 44.480459700000004, 8.4224727, 44.5004597)'",8,524.012594537984,16244,30.9992549211955,0,12617,0,0,3627,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,'italy','Mirabello Monferrato',' Piemonte',45.0355517,8.5232487,ST_GeogFromText('POINT(8.5232487 45.0355517)'),"'(8.5132487, 45.0255517, 8.5332487, 45.0455517)'",8,1402.898345127,5797,4.13215969648549,0,5698,0,99,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,3,0
760,'italy','Moasca',' Piemonte',44.7627191,8.2778224,ST_GeogFromText('POINT(8.2778224 44.7627191)'),"'(8.2678224, 44.7527191, 8.2878224, 44.772719099999996)'",8,535.115506566362,4211,7.86932904826553,0,518,0,66,3627,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
761,'italy','Moconesi',' Liguria',44.433261,9.2139486,ST_GeogFromText('POINT(9.2139486 44.433261)'),"'(9.2039486, 44.423261000000004, 9.2239486, 44.443261)'",8,2770.70216818005,19839,7.16027880146761,0,15651,0,561,3627,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,'italy','Moiola',' Piemonte',44.321127,7.38973,ST_GeogFromText('POINT(7.38973 44.321127)'),"'(7.37973, 44.311127, 7.39973, 44.331126999999995)'",8,231.430690589899,2882,12.4529723895046,0,2849,0,33,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,0
763,'italy','Molare',' Piemonte',44.6204339,8.6011696,ST_GeogFromText('POINT(8.6011696 44.6204339)'),"'(8.5911696, 44.610433900000004, 8.6111696, 44.6304339)'",8,2300.65201405941,16012,6.95976614548822,0,15022,0,990,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
764,'italy','Molini di Triora',' Liguria',43.9903183,7.7744405,ST_GeogFromText('POINT(7.7744405 43.9903183)'),"'(7.7644405, 43.9803183, 7.7844405, 44.000318299999996)'",8,559.597641697561,22422,40.0680745043564,0,16650,0,2145,3627,0,0,0,0,3,0,6,0,0,0,0,18,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
765,'italy','Molino dei Torti',' Piemonte',45.0234357,8.8922365,ST_GeogFromText('POINT(8.8922365 45.0234357)'),"'(8.8822365, 45.0134357, 8.902236499999999, 45.0334357)'",8,608.843447897409,4752,7.80496204140924,0,333,0,792,3627,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
766,'italy','Mollia',' Piemonte',45.816669,8.030315,ST_GeogFromText('POINT(8.030315 45.816669)'),"'(8.020315, 45.806669, 8.040315, 45.826668999999995)'",8,104.27542578167,4991,47.8636261860013,0,4958,0,33,0,0,0,0,0,1,1,1,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
767,'italy','Mombaldone',' Piemonte',44.5695562,8.3301861,ST_GeogFromText('POINT(8.3301861 44.5695562)'),"'(8.3201861, 44.5595562, 8.3401861, 44.5795562)'",8,231.611542133382,3714,16.0354702783386,0,3219,0,495,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
768,'italy','Mombarcaro',' Piemonte',44.467637,8.088242,ST_GeogFromText('POINT(8.088242 44.467637)'),"'(8.078242, 44.457637000000005, 8.098241999999999, 44.477637)'",8,260.8074254272,9768,37.4529213805938,0,9768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
769,'italy','Mombaruzzo',' Piemonte',44.7713489,8.4489087,ST_GeogFromText('POINT(8.4489087 44.7713489)'),"'(8.4389087, 44.7613489, 8.4589087, 44.7813489)'",8,1130.43008576601,5049,4.46644163453828,0,1369,0,0,3627,0,0,0,53,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,'italy','Mombasiglio',' Piemonte',44.366633,7.967941,ST_GeogFromText('POINT(7.967941 44.366633)'),"'(7.957941, 44.356633, 7.9779409999999995, 44.376633)'",8,612.726359754764,8547,13.9491305766914,0,8547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,'italy','Mombello Monferrato',' Piemonte',45.132854,8.250333,ST_GeogFromText('POINT(8.250333 45.132854)'),"'(8.240333, 45.122854000000004, 8.260333, 45.142854)'",8,1053.37985863768,16022,15.210087670293,0,1184,0,330,14508,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
772,'italy','Mombello di Torino',' Piemonte',45.045749,7.920827,ST_GeogFromText('POINT(7.920827 45.045749)'),"'(7.910827, 45.035749, 7.930827, 45.055749)'",8,410.903471105703,449,1.09271405956193,0,185,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
